Questions,Category,Bloom Level
About what proportion of the population of the US is living on farms?,BT1,Remember
Correctly label the brain lobes indicated on the diagram below,BT1,Remember
Define compound interest.,BT1,Remember
Define four types of traceability,BT1,Remember
Define mercantilism.,BT1,Remember
"Define stream bank, floodplain and substrate.",BT1,Remember
Define the meaning of the Olympic Motto.,BT1,Remember
Draw and label a diagram of a typical stream.,BT1,Remember
Draw the basic outline of a page of notes using the Cornell Method?,BT1,Remember
Draw the block diagram of the central processing unit ,BT1,Remember
Draw the flow chart of the PNK system,BT1,Remember
How many instructions in the instruction set of RISC computer?,BT1,Remember
How many kilometers from your home to the university,BT1,Remember
How many loop statement available in c++?,BT1,Remember
How many states are there in USA,BT1,Remember
How many years does this animal live?,BT1,Remember
How much data can be stored in the cach memory,BT1,Remember
How much did he pay for his car,BT1,Remember
How much is your weight,BT1,Remember
How much time did he took to build a house,BT1,Remember
How much water does an elephant drink,BT1,Remember
Identify a phrase as a simile,BT1,Remember
"Identify a property (commutative, additive, etc(",BT1,Remember
Identify fractions from a pictorial representation,BT1,Remember
Identify ordinal positions,BT1,Remember
Identify the correct definition of osmosis,BT1,Remember
Identify the five major prophets of the Old Testament.,BT1,Remember
Identify the part of a eukaryotic cell.,BT1,Remember
Identify the standard peripheral components of a computer.,BT1,Remember
Identify which word begins with the same sound as the s in sun (Knowledge of letter s),BT1,Remember
in which countries is arabic language spoken,BT1,Remember
in which continent does the state of suriname fall,BT1,Remember
In Which part of the world does he live,BT1,Remember
Label any Olympic sporting apparatus with design features.,BT1,Remember
Label the parts of the following insects: Grasshopper,BT1,Remember
Label the parts of the microscope shown on the right,BT1,Remember
List four types of clauses mentioned in the article,BT1,Remember
List reserved words in C programming.,BT1,Remember
List the characteristics peculiar to the Cubist movement.,BT1,Remember
List the levels in Bloom's Taxonomy.,BT1,Remember
List the procedure to draw a mixed potential or Evans' diagram,BT1,Remember
List the steps involved in titration.,BT1,Remember
List three characteristics that are unique to the Cubist movement.,BT1,Remember
List three predominant economic systems that exist,BT1,Remember
Look at the symbol. What is the symbols purpose on a map?,BT1,Remember
Make a list of facts you learned from the story.,BT1,Remember
Name 5 steps that follow the taking of notes (within 24 hours or less)?,BT1,Remember
Name the artist who painted the Mona Lisa.,BT1,Remember
Name the food groups and at least two items of food in each group.,BT1,Remember
Name the four major food groups.,BT1,Remember
Name the main characters in the story.,BT1,Remember
Name the property that states that,BT1,Remember
Please label the diagram below:,BT1,Remember
Recall basic math facts,BT1,Remember
Recall locations of a historical events,BT1,Remember
Recall the definition of the formula datatype from your assignment 2.,BT1,Remember
Recall the equation for the Ideal Gas Law.,BT1,Remember
Recall the following pictoral example of an implementation of some queue operations,BT1,Remember
recall the supply voltage constraints,BT1,Remember
Recite a policy of immigration in Europe .,BT1,Remember
"Recite the poem ""Auto Wreck"".",BT1,Remember
Recite the principles of the Data Protection Act.,BT1,Remember
Recite the the Gaussian law,BT1,Remember
State four attributes of well engineered software.,BT1,Remember
State how to find a word in a dictionary,BT1,Remember
State the characteristics of each type of corrosion testing studied,BT1,Remember
State the definition of application in Bloom's Taxonomy.,BT1,Remember
